sku,name,stock
I-RMI-IP16PL-PF-000,I - RealMaterial Betét iPhone 16 Plus Puffer,74
M-FSH-00IP13-CH-000,I - FullShock iPhone 13 Charcoal,59
M-PSH-IP11PM-YL-000,I - ProShock iPhone 11 Pro Max Yellow,71
I-NAN-0GXS23-000,I - NanoGlass Galaxy S23,5
I-APO-0APDS2-BK-000,I - Airpods Airpods 1/2 Black,89
I-NAN-0MI115-000,I - NanoGlass Mi 11 5G,60
I-PSD-000A52-000,I - ProShield Galaxy A52,97
I-FSH-IPSE20-010,I - FullShock iPhone 7/8/SE 2020/SE 2022 Babyblue Transparent,90
M-FSH-IP16PL-AN-000,M - FullShock iPhone 16 Plus Anthracite,84
M-PSH-IP16PM-BK-000,M - ProShock iPhone 16 Pro Max Black,26
M-FSH-0IP16E-FG-000,M - FullShock iPhone 16e Forest Green,35
I-NAN-000RM9-000,I - NanoGlass Redmi 9,5
